Account,avg_daily_pnl,std_daily_pnl,avg_win_rate,avg_daily_trades,total_trades,avg_trade_size,avg_long_short_ratio,avg_drawdown,total_fees,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,66676.242499125,150401.79734551374,0.35233288809198676,159.08333333333334,3818,33569.102223713766,0.0,14648.976921083335,7405.312304,1
0x430f09841d65beb3f27765503d0f850b8bce7713,14876.49544075,32725.08326015729,0.2026689708141321,44.17857142857143,1237,2525.945975144083,0.0,0.0,747.006931,2
0x4f93fead39b70a1824f981a54d4e55b278e9f760,-159.08964499236646,10317.58616352839,0.25010392175095925,15.954198473282442,2090,9163.88655179729,0.0,1150.5191927938931,6545.896951,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,21549.296287589743,42171.74469920306,0.3254950998749796,313.7435897435897,12236,27603.84521556422,0.0,3484.154301923077,76424.64289169,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5546.761692753847,23406.44232359817,0.21355719975901696,21.907692307692308,1424,4688.041802175383,0.0,411.93059183076923,281.49884416,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1213.215887148148,5511.299034566663,0.1888747291211057,35.388888888888886,1911,5475.174210575846,0.0,100.99784359259262,3384.8822185800004,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,4523.0413020666665,8542.12051178745,0.29853655922621436,37.53333333333333,563,2959.4760618012087,0.0,0.0,548.72926461,0
