Account,date,daily_pnl,mean_pnl_per_trade,pnl_std,min_pnl,max_pnl,total_volume,avg_trade_size,total_fees,num_trades,sentiment,fear_greed_value,win_rate,long_short_ratio,drawdown_proxy
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,0.0,0.0,0.0,900880.13,5089.718248587571,167.796055,177,Greed,76.0,0.0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,0.0,0.0,0.0,542413.1799999999,7976.664411764705,67.883615,68,Greed,90.0,0.0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,0.0,0.0,0.0,949380.0,23734.5,94.93798300000002,40,Greed,83.0,0.0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,-1768.9166666666667,1526.1783793454342,-4948.586829,-29.420622,338240.0,28186.666666666668,33.823995,12,Greed,94.0,0.0,0,21227.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,59.37407407407407,172.31681367375162,0.0,883.756968,465700.0,17248.14814814815,104.62249,27,Greed,79.0,0.4444444444444444,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,-1613.060975609756,2491.5845458943427,-10259.468,-27.456691,1316799.98,16058.536341463414,131.679967,82,Greed,77.0,0.0,0,132271.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,0.0,0.0,0.0,1116918.77,48561.68565217392,390.921553,23,Greed,84.0,0.0,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,-5321.545456242425,20673.809229281236,-117990.1041,-1.75611,1212299.96,36736.36242424243,121.229992,33,Greed,72.0,0.0,0,175611.00005600002
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,153.53540666236557,1050.3440755978172,-42.86425,15993.72491,5306093.62,11410.954021505377,780.33644,465,Greed,77.0,0.04946236559139785,0,428.2042
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,788.5999999607843,2175.1372102662936,0.0,11322.34027,479429.99,9400.588039215687,23.971493,51,Greed,76.0,0.5490196078431373,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,7671.0,12601.782053941179,0.0,34903.8171,1858470.0,185847.0,92.923496,10,Greed,60.0,0.9,0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,120.39533452205006,1727.5898244164778,-19841.24014,25652.2897,19794543.66,23593.019856972587,2355.038296,839,Fear,44.0,0.30512514898688914,0,0.0
